                                                                     NORMAN POLICE DEPARTMENT
                                                                          Daily Incident Summary (Public)
       Date / Time             Incident Number                             Location                                                   Nature                                Incident ORI
8/1/2024 0:04               2024-00055419          1345 W LINDSEY ST                                        Traffic Stop                                               OK0140200
8/1/2024 0:18               2024-00055420          1820 BEVERLY HILLS ST                                    Suspicious                                                 OK0140200
8/1/2024 0:19               2024-00055421          5401 HUETTNER DR                                         Welfare Check                                              OK0140200
8/1/2024 0:22               2024-00015377          3300 HEALTHPLEX PKWY                                     Transfer/Interfacility                                     EMSSTAT
8/1/2024 0:33               2024-00055422          S BERRY RD / W LINDSEY ST                                Traffic Stop                                               OK0140200
8/1/2024 0:36               2024-00055425          4828 E LINDSEY ST                                        Burglary                                                   OK0140200
8/1/2024 0:37               2024-00055423          2541 W MAIN ST                                           Suspicious                                                 OK0140200
8/1/2024 0:38               2024-00055424          333 N CARTER AVE                                         Contact a Subject                                          OK0140200
8/1/2024 0:38               2024-00055426          320 CHAUTAUQUA AVE                                       Disturbance/Domestic                                       OK0140200
8/1/2024 0:42               2024-00055429          2550 MOUNT WILLIAMS DR                                   Motorist Assist                                            OK0140200
8/1/2024 0:43               2024-00055428          201 WOODCREST DR                                         Noise Complaint                                            OK0140200
8/1/2024 0:44               2024-00055427          35.2055516666667;-97.476835                              Contact a Subject                                          OK0140200
8/1/2024 0:53               2024-00055430          178 S JAMES GARNER AVE                                   Traffic Stop                                               OK0140200
8/1/2024 1:04               2024-00055431          24TH AVE NW / TEE DR                                     Traffic Stop                                               OK0140200
8/1/2024 1:07               2024-00055432          E LINDSEY ST / MCKINLEY AVE                              Traffic Stop                                               OK0140200
8/1/2024 1:08               2024-00055433          2401 N PORTER AVE                                        Welfare Check                                              OK01402008/1/2024 1:09                2024-00015378          2000 ANN BRANDEN BLVD                                     Transfer/Interfacility                                      EMSSTAT
8/1/2024 1:12                2024-00015380          2000 ANN BRANDEN BLVD                                     Transfer/Interfacility                                      EMSSTAT
8/1/2024 1:14                2024-00055434          1419 W LINDSEY ST                                         Traffic Stop                                                OK0140200
8/1/2024 1:17                2024-00015379          3300 HEALTHPLEX PKWY                                      Transfer/Interfacility                                      EMSSTAT
8/1/2024 1:18                2024-00055435          1229 WYLIE RD                                             Contact a Subject                                           OK0140200
8/1/2024 1:19                2024-00055436          I35 SB ON RAMP 108B WEST SPUR RAMP RAMP                   Traffic Stop                                                OK0140200
                                                    / W LINDSEY ST
8/1/2024 1:19                2024-00055437          N FLOOD AVE / ATCHISON DR                                 Traffic Stop                                                OK0140200
8/1/2024 1:28                2024-90000313          504 N Ponca AV                                            Larceny                                                     OK0140200
8/1/2024 1:28                2024-00055438          2300 W ROBINSON ST                                        Traffic Stop                                                OK0140200
8/1/2024 1:29                2024-00055439          1201 12TH AVE NE                                          Trespassing                                                 OK0140200
8/1/2024 1:34                2024-00055441          5824 ALAMEDA ST                                           Suspicious                                                  OK0140200
8/1/2024 1:35                2024-00055440          E DUFFY ST / MONNETT AVE                                  Traffic Stop                                                OK0140200
8/1/2024 1:47                2024-00011413          917 24TH AVE SW                                           Unconscious/Fainting                                        14005
8/1/2024 1:47                2024-00015381          917 24TH AVE SW                                           Unconscious/Fainting                                        EMSSTAT
8/1/2024 1:47                2024-00055443          917 24TH AVE SW                                           Medical Call Pd Requested                                   OK0140200
8/1/2024 1:49                2024-00055442          1605 OLD FARM RD                                          Shots Heard                                                 OK0140200
8/1/2024 1:52                2024-00055444          1400 W LINDSEY ST                                         Traffic Stop                                                OK01402008/1/2024 1:58               2024-00055445           9721 LITTLE RIVER DR                                     Disturbance/Domestic                                       OK0140200
8/1/2024 2:03               2024-00055446           800 N BERRY RD                                           Alarm                                                      OK0140200
8/1/2024 2:07               2024-00055447           36TH AVE NW / W TECUMSEH RD                              Welfare Check                                              OK0140200
8/1/2024 2:17               2024-00055449           2609 CHATEAU DR                                          Supplement Report                                          OK0140200
8/1/2024 2:17               2024-00055448           4200 E STATE HWY 9 HWY                                   Traffic Stop                                               OK0140200
8/1/2024 2:24               2024-00055450           3100 MEDICAL PARK PL                                     Trespassing                                                OK0140200
8/1/2024 2:30               2024-00011414           3300 CADDO LN                                            Convulsion/Seizure                                         14005
8/1/2024 2:30               2024-00015382           3300 CADDO LN                                            Convulsion/Seizure                                         EMSSTAT
8/1/2024 2:30               2024-90000314           201 WOODCREST DR UNIT 1201                               Larceny                                                    OK0140200
8/1/2024 2:37               2024-00055451           N BERRY RD / W MAIN ST                                   Traffic Stop                                               OK0140200
8/1/2024 2:38               2024-00011415           2900 W MAIN ST                                           MVA With Injuries                                          14005
8/1/2024 2:38               2024-00015383           2900 W MAIN ST                                           MVA With Injuries                                          EMSSTAT
8/1/2024 2:46               2024-00011416           1514 ALADDIN ST                                          Sick Person                                                14005
8/1/2024 2:46               2024-00015384           1514 ALADDIN ST                                          Sick Person                                                EMSSTAT
8/1/2024 2:53               2024-00055452           909 24TH AVE SW                                          Disturbance/Domestic                                       OK0140200
8/1/2024 3:00               2024-00011418           5401 HUETTNER DR                                         Overdose/Poisoning                                         14005
8/1/2024 3:00               2024-00015386           5401 HUETTNER DR                                         Overdose/Poisoning                                         EMSSTAT8/1/2024 3:00               2024-00055453           5401 HUETTNER DR                                         Mutual Aid                                                 OK0140200
8/1/2024 3:02               2024-00011417           1776 E ROBINSON ST                                       Unconscious/Fainting                                       14005
8/1/2024 3:02               2024-00015385           1776 E ROBINSON ST                                       Diabetic Problems                                          EMSSTAT
8/1/2024 3:05               2024-90000315           363 N Interstate                                         Larceny                                                    OK0140200
8/1/2024 3:16               2024-00055454           5712 SPRING MILL RD                                      Disturbance/Domestic                                       OK0140200
8/1/2024 3:25               2024-00055455           3001 PHEASANT RUN RD                                     Contact a Subject                                          OK0140200
8/1/2024 3:42               2024-00055456           4600 36TH AVE NW                                         Suspicious                                                 OK0140200
8/1/2024 3:55               2024-00015387           1101 N PONCA AVE                                         Heat/Cold Exposure                                         EMSSTAT
8/1/2024 4:10               2024-00011419           2701 BISHOPS DR                                          Breathing Problems                                         14005
8/1/2024 4:10               2024-00015388           2701 BISHOPS DR                                          Breathing Problems                                         EMSSTAT
8/1/2024 4:17               2024-00055457           800 N BERRY RD                                           Alarm                                                      OK0140200
8/1/2024 4:21               2024-00055458           302 N INTERSTATE DR                                      Alarm                                                      OK0140200
8/1/2024 4:38               2024-00055459           W TECUMSEH RD / N INTERSTATE DR                          Contact a Subject                                          OK0140200
8/1/2024 5:04               2024-00011420           716 PEPPERTREE CT                                        Public Assist                                              14005
8/1/2024 5:17               2024-00055460           5824 ALAMEDA ST                                          Larceny                                                    OK0140200
8/1/2024 5:25               2024-00011421           3300 CADDO LN                                            Convulsion/Seizure                                         14005
8/1/2024 5:25               2024-00015389           3300 CADDO LN                                            Convulsion/Seizure                                         EMSSTAT8/1/2024 5:32               2024-00055461          810 WYLIE RD                                             Larceny                                                    OK0140200
8/1/2024 5:32               2024-00055463          860 N INTERSTATE DR                                      Alarm                                                      OK0140200
8/1/2024 5:32               2024-00055462          1230 CLASSEN BLVD                                        Disturbance/Domestic                                       OK0140200
8/1/2024 5:45               2024-00055464          2609 CHATEAU DR                                          Runaway or Lost Child                                      OK0140200
8/1/2024 6:04               2024-00011422          1408 FOREST GLENN CIR                                    Chest Pain                                                 14005
8/1/2024 6:04               2024-00015390          1408 FOREST GLENN CIR                                    Chest Pain                                                 EMSSTAT
8/1/2024 6:22               2024-00055470          PARKWAY DR / 26TH AVE NW                                 MVA Non Injury                                             OK0140200
8/1/2024 6:24               2024-00055465          801 N PETERS AVE                                         Public Intoxication                                        OK0140200
8/1/2024 6:26               2024-00055466          1016 26TH AVE NW                                         Disturbance/Domestic                                       OK0140200
8/1/2024 6:28               2024-00055467          5824 ALAMEDA ST                                          Suspicious                                                 OK0140200
8/1/2024 6:28               2024-00011423          1776 E ROBINSON ST                                       Stroke                                                     14005
8/1/2024 6:28               2024-00015391          1776 E ROBINSON ST                                       Stroke                                                     EMSSTAT
8/1/2024 6:36               2024-00055468          1617 ROCK HOLLOW DR                                      Open Door/Premises Check                                   OK0140200
8/1/2024 6:40               2024-00055472          ELM AVE / W BROOKS ST                                    Check Area                                                 OK0140200
8/1/2024 6:45               2024-00011424          180 W BROOKS ST                                          Public Assist                                              14005
8/1/2024 6:51               2024-00055473          419 24TH AVE NW                                          Vandalism                                                  OK0140200
8/1/2024 6:59               2024-00055469          800 E STATE HWY 9 HWY                                    Traffic Stop                                               OK01402008/1/2024 7:05               2024-00055471          BEAUMONT DR / SINCLAIR DR                                Traffic Stop                                               OK0140200
8/1/2024 7:22               2024-00055474          4119 GREEN HILLS DR                                      Check Area                                                 OK0140200
8/1/2024 7:35               2024-00055475          1300 WHIPPOORWILL DR                                     Traffic Stop                                               OK0140200
8/1/2024 7:38               2024-00055476          1616 ROCK HOLLOW DR                                      Suspicious                                                 OK0140200
8/1/2024 7:39               2024-00015392          3300 HEALTHPLEX PKWY                                     Transfer/Interfacility                                     EMSSTAT
8/1/2024 7:39               2024-00055478          1115 E CONSTITUTION ST                                   Alarm                                                      OK0140200
8/1/2024 7:40               2024-00055477          1000 N FLOOD AVE                                         Traffic Stop                                               OK0140200
8/1/2024 7:48               2024-00055479          2209 CHADWICK DR                                         Suspicious                                                 OK0140200
8/1/2024 8:00               2024-00055526          620 E ACRES ST                                           Animal Complaint                                           OK0140200
8/1/2024 8:00               2024-00055550          409 SUMMIT WAY                                           Animal Dead                                                OK0140200
8/1/2024 8:06               2024-00055579          4117 SILVERTON CIR                                       Animal Dead                                                OK0140200
8/1/2024 8:13               2024-00055480          RC LUTTRELL DR / HEALTHPLEX PKWY                         Traffic Stop                                               OK0140200
